cancellation_source,delay_given_operated_source,joint_log_loss,method,multiclass_brier,n,joint_log_loss_delta_vs_flare24,multiclass_brier_delta_vs_flare24,post_hoc_winner,selection_adjusted_interval_available
flare24,flare24,0.5395768337835158,cancel_flare24__delay_flare24,0.3272176334749647,5754266,0.0,0.0,False,False
flare24,raw_demand,0.5402845939838691,cancel_flare24__delay_raw_demand,0.32776109041066726,5754266,0.0007077602003532357,0.0005434569357025687,False,False
flare24,normalized_capacity,0.5401827588657503,cancel_flare24__delay_normalized_capacity,0.3276829263161781,5754266,0.0006059250822344486,0.0004652928412134383,False,False
flare24,queue_shadow,0.5403024246167795,cancel_flare24__delay_queue_shadow,0.32780714006370454,5754266,0.000725590833263623,0.0005895065887398521,False,False
flare24,hypergraph,0.540282530598055,cancel_flare24__delay_hypergraph,0.32781096264388926,5754266,0.0007056968145391362,0.0005933291689245723,False,False
raw_demand,flare24,0.5384752018007121,cancel_raw_demand__delay_flare24,0.3271557207178077,5754266,-0.0011016319828037746,-6.191275715700106e-05,False,False
raw_demand,raw_demand,0.5391829620010653,cancel_raw_demand__delay_raw_demand,0.32770305121047305,5754266,-0.0003938717824505389,0.0004854177355083644,False,False
raw_demand,normalized_capacity,0.5390811268829465,cancel_raw_demand__delay_normalized_capacity,0.3276189571390042,5754266,-0.000495706900569326,0.00040132366403949904,False,False
raw_demand,queue_shadow,0.5392007926339758,cancel_raw_demand__delay_queue_shadow,0.3277460150131158,5754266,-0.00037604114954004064,0.0005283815381511014,False,False
raw_demand,hypergraph,0.5391808986152513,cancel_raw_demand__delay_hypergraph,0.3277478031436027,5754266,-0.00039593516826452735,0.0005301696686380031,False,False
normalized_capacity,flare24,0.5382089427081008,cancel_normalized_capacity__delay_flare24,0.32709038021853365,5754266,-0.0013678910754150175,-0.0001272532564310369,True,False
normalized_capacity,raw_demand,0.5389167029084542,cancel_normalized_capacity__delay_raw_demand,0.32763596804727135,5754266,-0.0006601308750616708,0.0004183345723066667,False,False
normalized_capacity,normalized_capacity,0.5388148677903353,cancel_normalized_capacity__delay_normalized_capacity,0.32755691521863234,5754266,-0.0007619659931805689,0.00033928174366765207,False,False
normalized_capacity,queue_shadow,0.5389345335413644,cancel_normalized_capacity__delay_queue_shadow,0.3276823550306131,5754266,-0.0006423002421513946,0.00046472155564841744,False,False
normalized_capacity,hypergraph,0.5389146395226401,cancel_normalized_capacity__delay_hypergraph,0.32768556137236604,5754266,-0.0006621942608757703,0.00046792789740135454,False,False
queue_shadow,flare24,0.5391099780649098,cancel_queue_shadow__delay_flare24,0.32717013300767,5754266,-0.0004668557186060518,-4.750046729468105e-05,False,False
queue_shadow,raw_demand,0.5398177382652629,cancel_queue_shadow__delay_raw_demand,0.32771398545683317,5754266,0.0002409044817470729,0.0004963519818684814,False,False
queue_shadow,normalized_capacity,0.539715903147144,cancel_queue_shadow__delay_normalized_capacity,0.327636441258861,5754266,0.0001390693636281748,0.00041880778389630224,False,False
queue_shadow,queue_shadow,0.5398355688981733,cancel_queue_shadow__delay_queue_shadow,0.327760835006519,5754266,0.00025873511465746013,0.0005432015315542937,False,False
queue_shadow,hypergraph,0.5398156748794488,cancel_queue_shadow__delay_hypergraph,0.3277642489689049,5754266,0.00023884109593297342,0.0005466154939401946,False,False
hypergraph,flare24,0.5395086961820045,cancel_hypergraph__delay_flare24,0.32720573952867693,5754266,-6.813760151136439e-05,-1.189394628775542e-05,False,False
hypergraph,raw_demand,0.5402164563823576,cancel_hypergraph__delay_raw_demand,0.32774860052669097,5754266,0.0006396225988417603,0.0005309670517262832,False,False
hypergraph,normalized_capacity,0.5401146212642387,cancel_hypergraph__delay_normalized_capacity,0.3276751414321401,5754266,0.0005377874807228622,0.00045750795717541815,False,False
hypergraph,queue_shadow,0.540234287015268,cancel_hypergraph__delay_queue_shadow,0.327799490309212,5754266,0.0006574532317521475,0.0005818568342473296,False,False
hypergraph,hypergraph,0.5402143929965435,cancel_hypergraph__delay_hypergraph,0.3278040088282711,5754266,0.0006375592130276608,0.000586375353306412,False,False
