method,selected,n,joint_log_loss,multiclass_brier
capacity_gated_simplex,False,1240560,0.4419525207596261,0.2649080513948775
flare24,False,1240560,0.44195315203317803,0.2649055601413274
task_factorized_capacity_gated_q4,True,1240560,0.4418347552994265,0.2649099608103111
task_factorized_global_q4,False,1240560,0.441838041826915,0.2649094693103611
