config,context,split,threshold,roc_auc,pr_auc,brier,top_bucket_rate,top_bucket_quantile,accuracy,precision_pos,recall_pos,f1_pos
calendar_only,cancel – Ablation (calendar_only),test,0.5,0.5292139062362298,0.01983735251151475,0.2909357114182664,0.020683184259801774,0.9,0.6327268421125956,0.020798094398358915,0.4189339193077045,0.03962880540355787
route_airline_congestion_only,cancel – Ablation (route_airline_congestion_only),test,0.5,0.5594224922830351,0.022927382439556117,0.1446748917780023,0.02713378406064331,0.9,0.8010994531417103,0.02448528318315147,0.25736809913236525,0.04471637514366233
weather_only,cancel – Ablation (weather_only),test,0.5,0.7006050315264661,0.06335246425353223,0.18956458912810778,0.061377018549553575,0.9,0.7651672658642582,0.04066086938399095,0.5303672156400788,0.07553110835094284
all_features,cancel – Ablation (all_features),test,0.5,0.6727071886275351,0.04644769402244362,0.10233153470788052,0.053472868153526545,0.9,0.8693424178626716,0.0488427317246204,0.33688240491131094,0.08531596913456298
no_weather,cancel – Ablation (no_weather),test,0.5,0.5958917791193424,0.02705997229854054,0.13889819863963884,0.034308683911837376,0.9,0.8078821185616307,0.029956660896973346,0.3065944770405274,0.05458039356440136
