config,context,split,threshold,roc_auc,pr_auc,brier,top_bucket_rate,top_bucket_quantile,accuracy,precision_pos,recall_pos,f1_pos
calendar_only,delay15 – Ablation (calendar_only),test,0.5,0.6342299970036507,0.3005931343370829,0.23425732470063043,,,0.5681444601211095,0.2792633096227749,0.6551025506360362,0.39159415859279467
route_airline_congestion_only,delay15 – Ablation (route_airline_congestion_only),test,0.5,0.5272890207942809,0.22696307157469853,0.22284018377366704,,,0.6563146427702545,0.23197446314962425,0.26830952254501034,0.24882250573697826
weather_only,delay15 – Ablation (weather_only),test,0.5,0.5950774374789023,0.2831078686948064,0.24227254953261376,,,0.6131380190565374,0.2725447308974865,0.49339376021621495,0.3511296825130186
all_features,delay15 – Ablation (all_features),test,0.5,0.6432013406031984,0.31845209300961574,0.20068287751953237,,,0.6962062609567996,0.32812839949849815,0.4123564320600807,0.36545206683030235
no_weather,delay15 – Ablation (no_weather),test,0.5,0.6151582702057925,0.28172875736953995,0.21322399214858995,,,0.6604672202602048,0.2952293937393675,0.43284492203712555,0.35103159429514436
