regime,n,method,joint_log_loss,joint_log_loss_delta_vs_flare24,multiclass_brier,multiclass_brier_delta_vs_flare24
low,2967360,flare24,0.5418205924454603,0.0,0.3293960721098216,0.0
low,2967360,tf_ccrth_cancellation_logit_stack,0.5397893259651266,-0.0020312664803336933,0.3291178785284356,-0.00027819358138597705
elevated,2207864,flare24,0.5378868964993908,0.0,0.325830240507476,0.0
elevated,2207864,tf_ccrth_cancellation_logit_stack,0.535564005782343,-0.002322890717047832,0.32550181572333103,-0.000328424784144965
severe,579042,flare24,0.534522126166357,0.0,0.3213440756319213,0.0
severe,579042,tf_ccrth_cancellation_logit_stack,0.5319275881753937,-0.0025945379909633193,0.32097029185031944,-0.0003737837816018552
