regime,n,method,joint_log_loss,joint_log_loss_delta_vs_flare24,multiclass_brier,multiclass_brier_delta_vs_flare24
low,2967360,flare24,0.5418205924460391,0.0,0.329396072111212,0.0
low,2967360,capacity_gated_simplex,0.5418205924454603,-5.787592627370941e-13,0.3293960721098216,-1.390443316040546e-12
low,2967360,task_factorized_global_q4,0.5412588028176923,-0.0005617896283467427,0.3293548144609731,-4.125765023893502e-05
low,2967360,task_factorized_capacity_gated_q4,0.5412783398407948,-0.00054225260524432,0.3293568696514794,-3.920245973260128e-05
low,2967360,cancel_normalized_capacity__delay_flare24,0.5405446411211571,-0.0012759513248820076,0.3292825189303551,-0.000113553180856929
elevated,2207864,flare24,0.537886896498523,0.0,0.3258302405066928,0.0
elevated,2207864,capacity_gated_simplex,0.5378868964993908,8.678613383494849e-13,0.325830240507476,7.832068327218167e-13
elevated,2207864,task_factorized_global_q4,0.5372270663598726,-0.0006598301386503413,0.3257850210178145,-4.521948887831195e-05
elevated,2207864,task_factorized_capacity_gated_q4,0.5372143125702125,-0.0006725839283104884,0.32578486763999454,-4.5372866698256686e-05
elevated,2207864,cancel_normalized_capacity__delay_flare24,0.53645806632301,-0.001428830175512985,0.3256918972116065,-0.00013834329508627397
severe,579042,flare24,0.5345221261612172,0.0,0.32134407562742645,0.0
severe,579042,capacity_gated_simplex,0.5343486521180719,-0.00017347404314527193,0.3213363129961833,-7.762631243135587e-06
severe,579042,task_factorized_global_q4,0.5338743767922434,-0.0006477493689738267,0.32130566186781934,-3.841375960711435e-05
severe,579042,task_factorized_capacity_gated_q4,0.5338507851644061,-0.0006713409968110984,0.32130229596272875,-4.177966469770533e-05
severe,579042,cancel_normalized_capacity__delay_flare24,0.5329154387759611,-0.0016066873852560448,0.32118890080546075,-0.00015517482196569787
