candidate,task,rank,feature,importance,capacity_feature_importance_fraction
normalized_capacity,delay,18,ccrth_dest_ils_end_fraction,0.012598151876969416,0.049238493086285647
normalized_capacity,delay,19,ccrth_dest_metro_queue,0.0,0.049238493086285647
normalized_capacity,delay,20,ccrth_dest_metro_utilization,0.0,0.049238493086285647
normalized_capacity,delay,21,ccrth_dest_expected_slack,0.0,0.049238493086285647
normalized_capacity,delay,22,ccrth_dest_overload_probability,0.0,0.049238493086285647
normalized_capacity,delay,23,ccrth_dest_movement_utilization,0.0,0.049238493086285647
normalized_capacity,delay,24,ccrth_dest_direction_utilization,0.0,0.049238493086285647
normalized_capacity,delay,25,ccrth_dest_expected_movement_capacity,0.0,0.049238493086285647
normalized_capacity,delay,26,ccrth_dest_expected_direction_capacity,0.0,0.049238493086285647
normalized_capacity,delay,27,ccrth_dest_weather_capacity_stress,0.0,0.049238493086285647
normalized_capacity,delay,28,ccrth_dest_runway_feasible_end_fraction,0.0,0.049238493086285647
normalized_capacity,delay,29,ccrth_dest_runway_effective_end_count,0.0,0.049238493086285647
normalized_capacity,delay,30,ccrth_dest_runway_configuration_entropy,0.0,0.049238493086285647
normalized_capacity,delay,31,ccrth_dest_historical_frontier_observed_fraction,0.0,0.049238493086285647
normalized_capacity,delay,32,ccrth_origin_eligible_runway_end_count,0.0,0.049238493086285647
normalized_capacity,delay,33,ccrth_origin_physical_runway_count,0.0,0.049238493086285647
normalized_capacity,delay,34,ccrth_origin_arrival_demand_60m_log1p,0.0,0.049238493086285647
normalized_capacity,delay,35,ccrth_origin_arrival_demand_30m_log1p,0.0,0.049238493086285647
normalized_capacity,delay,36,ccrth_origin_arrival_demand_15m_log1p,0.0,0.049238493086285647
normalized_capacity,delay,37,ccrth_dest_maximum_runway_length_kft,0.0,0.049238493086285647
normalized_capacity,delay,38,ccrth_dest_minimum_runway_length_kft,0.0,0.049238493086285647
normalized_capacity,delay,39,ccrth_dest_max_parallel_runways,0.0,0.049238493086285647
normalized_capacity,delay,40,ccrth_dest_orientation_family_count,0.0,0.049238493086285647
queue_shadow,delay,1,ccrth_origin_queue_p90,1.3627215739948202,0.06701060904532939
queue_shadow,delay,2,ccrth_dest_queue_p90,0.7042788315839774,0.06701060904532939
queue_shadow,delay,3,ccrth_origin_capacity_scenario_constrained_probability,0.6945866928494767,0.06701060904532939
