method,display_name,evidence_role,n,joint_log_loss,joint_log_loss_delta_vs_flare24,multiclass_brier,multiclass_brier_delta_vs_flare24,cancellation_log_loss,cancellation_log_loss_delta_vs_flare24,cancellation_brier,cancellation_roc_auc,cancellation_average_precision,delay_log_loss,delay_brier
flare24,FLARE-24,Q4-locked retrospective evaluation,5754266,0.5395768337835158,0.0,0.3272176334749647,0.0,0.06749678833152703,0.0,0.01365458025109029,0.7893411504912188,0.08545231993787088,0.4787628071978164,0.15476640516217943
capacity_gated_simplex,Parent gated simplex,Q4-locked retrospective evaluation,5754266,0.5395593773856552,-1.745639786066011e-05,0.32721685233416986,-7.811407948254967e-07,0.06747979746774936,-1.6990863777668896e-05,0.013654046150112934,0.789563273695999,0.08562578198092988,0.47876238827476814,0.15476648857650166
task_factorized_global_q4,Task-factorized global (Q4 lock),Q4-locked retrospective evaluation,5754266,0.538968776844382,-0.0006080569391337942,0.3271751418760716,-4.249159889307963e-05,0.06689088779299246,-0.0006059005385345706,0.013628808857266767,0.7971252089914886,0.09229489246672873,0.47876280720893816,0.15476640516676574
task_factorized_capacity_gated_q4,Task-factorized stress-gated (Q4 lock),Q4-locked retrospective evaluation,5754266,0.5389715841884384,-0.0006052495950774617,0.32717580414165304,-4.1829333311649286e-05,0.06689364657876137,-0.0006031417527656568,0.013629060370021515,0.7971889434903968,0.09247400118641405,0.4787628071980359,0.154766405162788
cancel_normalized_capacity__delay_flare24,2025 component-pair winner (post-hoc),post-hoc 2025-selected; requires 2026 confirmation,5754266,0.5382089427081008,-0.0013678910754150175,0.32709038021853365,-0.0001272532564310369,0.06613537228993743,-0.001361416041589597,0.013570282058626693,0.801195660208468,0.09761204850749608,0.4787628071978164,0.15476640516217943
