airport,joint_log_loss,joint_log_loss_delta_vs_flare24,method,multiclass_brier,multiclass_brier_delta_vs_flare24,n,role
SFO,0.49754262872011296,0.0,flare24,0.3029534837539852,0.0,130201,origin
SJC,0.4334654276097675,0.0,flare24,0.25509458765594756,0.0,45114,origin
SJU,0.5295936135782244,0.0,flare24,0.32540760981975325,0.0,34352,origin
SLC,0.45708424774261147,0.0,flare24,0.27379145020787565,0.0,95416,origin
SMF,0.4517801208392938,0.0,flare24,0.26927320279074524,0.0,56514,origin
SNA,0.49014250116754665,0.0,flare24,0.29006718595313674,0.0,42958,origin
STL,0.5195461024854361,0.0,flare24,0.3141125731404934,0.0,62551,origin
SYR,0.5863346807144733,0.0,flare24,0.35034509549641596,0.0,9782,origin
TPA,0.5267219897912687,0.0,flare24,0.3205914526831922,0.0,77003,origin
TUL,0.5256626359926643,0.0,flare24,0.30798234259290297,0.0,18006,origin
TUS,0.44277149518316256,0.0,flare24,0.2556835392523339,0.0,19884,origin
TYS,0.5861770286562229,0.0,flare24,0.3527750965492888,0.0,11396,origin
XNA,0.5666833558389717,0.0,flare24,0.33705472039755235,0.0,12083,origin
ABQ,0.45363637760297404,-0.0011027709491021609,tf_ccrth_cancellation_logit_stack,0.26595585522552667,-3.906213081045218e-05,24880,origin
ALB,0.5377029273806025,-0.0037479048264794645,tf_ccrth_cancellation_logit_stack,0.32171996530826,-0.0005784929430911467,11939,origin
ANC,0.4713728988513829,6.746786255779069e-05,tf_ccrth_cancellation_logit_stack,0.27775017647194916,-3.0490441289332537e-05,12629,origin
ATL,0.5677118381320652,-0.0012818654539746843,tf_ccrth_cancellation_logit_stack,0.3479267048509786,-8.771952281411144e-05,266525,origin
AUS,0.5236980879363768,-0.0011701058405313436,tf_ccrth_cancellation_logit_stack,0.3225481492612859,-9.409121516851249e-05,82370,origin
BDL,0.524216887250585,-0.0024815687956478705,tf_ccrth_cancellation_logit_stack,0.3168451872511558,-0.00044341090408783757,22764,origin
BHM,0.5179021001621484,-0.003406764974633547,tf_ccrth_cancellation_logit_stack,0.304126151683626,-0.0005158295849552186,16638,origin
BNA,0.5294135601229155,-0.002303057493679317,tf_ccrth_cancellation_logit_stack,0.3244713967805523,-0.0003346025951395104,99747,origin
BOI,0.42324875623336017,-2.1964418838005262e-05,tf_ccrth_cancellation_logit_stack,0.25165498287786653,1.9297014416774783e-05,23112,origin
BOS,0.5594347962833922,-0.0029690299991695923,tf_ccrth_cancellation_logit_stack,0.3430459518073547,-0.0005261049964725983,138336,origin
BUF,0.5357616867307626,-0.003769038016981696,tf_ccrth_cancellation_logit_stack,0.3217003138645094,-0.0010525041492369103,20374,origin
BUR,0.4824159974101435,-0.001392275165259249,tf_ccrth_cancellation_logit_stack,0.2789257794322514,-6.035891991751363e-05,29719,origin
BWI,0.5306889130201388,-0.001974976027172115,tf_ccrth_cancellation_logit_stack,0.321794401583854,-0.00019602532918738813,90284,origin
CHS,0.5516784279199041,-0.003988859665052913,tf_ccrth_cancellation_logit_stack,0.32607078217964514,-0.0006006857403079158,24294,origin
CLE,0.5185438402581596,-0.0033130938093364204,tf_ccrth_cancellation_logit_stack,0.3081142099022778,-0.0007512223451209832,39356,origin
CLT,0.5745583963238577,-0.0029352548355151553,tf_ccrth_cancellation_logit_stack,0.35372780662694664,-0.00021298342287756622,158932,origin
CMH,0.5109745494345818,-0.0029066673375784946,tf_ccrth_cancellation_logit_stack,0.3064981833338914,-0.0006740555093020517,43587,origin
COS,0.5463000256733841,-0.0026520207410744012,tf_ccrth_cancellation_logit_stack,0.3316890727181703,-0.00013962117522559048,13037,origin
CVG,0.539001751693516,-0.003767347738490856,tf_ccrth_cancellation_logit_stack,0.3260147860001851,-0.0008783952700373021,30824,origin
DAL,0.5550156199256516,-0.002669588182917848,tf_ccrth_cancellation_logit_stack,0.33996858682606007,-0.0002759879950826605,65842,origin
DAY,0.54934463069651,-0.003824656009122296,tf_ccrth_cancellation_logit_stack,0.32237337272047123,-0.0006134674007043373,7562,origin
DCA,0.649627672714576,-0.00930917640329465,tf_ccrth_cancellation_logit_stack,0.392392395350816,-0.0017700687426336903,127289,origin
DEN,0.5432446647897085,-0.0003374721072638698,tf_ccrth_cancellation_logit_stack,0.3432577322759261,8.261376611029547e-06,243152,origin
DFW,0.665900864983633,-0.0032413433255126245,tf_ccrth_cancellation_logit_stack,0.4090361929335418,-0.0002701370461900554,221410,origin
DSM,0.5373822912205969,-0.005669208601324804,tf_ccrth_cancellation_logit_stack,0.31717020350833164,-0.001060019942066004,13622,origin
DTW,0.5229558441086903,-0.0014536571097125695,tf_ccrth_cancellation_logit_stack,0.3196150112429575,-0.00024947189810825554,108498,origin
ELP,0.4736919361896945,-0.0016713820581665817,tf_ccrth_cancellation_logit_stack,0.27846597241248916,-0.0001417899245440002,16763,origin
EWR,0.6082334328820295,-0.005398125572127488,tf_ccrth_cancellation_logit_stack,0.36879439835140143,-0.0008193067262929343,113771,origin
FAT,0.4768369496574472,-0.0007426824855607528,tf_ccrth_cancellation_logit_stack,0.28599526352390264,-2.0477722160794354e-05,13175,origin
FLL,0.5522331713917049,-0.001693193161749429,tf_ccrth_cancellation_logit_stack,0.340081288498464,-0.00014935455413966903,81633,origin
GEG,0.4269434101932774,-0.0002080020794168469,tf_ccrth_cancellation_logit_stack,0.25322312423988885,-1.3722918723590993e-07,17884,origin
GRR,0.5407343250463496,-0.0024183578023581065,tf_ccrth_cancellation_logit_stack,0.32776032939214356,-0.00026444978708323186,16731,origin
GSO,0.5301417543325015,-0.005508214930022293,tf_ccrth_cancellation_logit_stack,0.30416125001742533,-0.0008373092963327444,10163,origin
GSP,0.5068691437917136,-0.004498995752184265,tf_ccrth_cancellation_logit_stack,0.29523538361222434,-0.0009040371453338247,13691,origin
HNL,0.4319014694784302,-0.0007536758862365378,tf_ccrth_cancellation_logit_stack,0.24783132063815305,-4.9198019661356174e-05,51232,origin
HOU,0.5177136011500305,-0.0013823919289163156,tf_ccrth_cancellation_logit_stack,0.31413976227342966,-0.0001897694368758751,50539,origin
HPN,0.5751411108492751,-0.007263824565268973,tf_ccrth_cancellation_logit_stack,0.34345019195803234,-0.001224281946896888,10381,origin
IAD,0.508415876116571,-0.0014606818567146629,tf_ccrth_cancellation_logit_stack,0.3099270168288483,-0.00025728735456720386,54506,origin
IAH,0.5445013477249432,-0.001420210472117378,tf_ccrth_cancellation_logit_stack,0.33310505573462956,-0.00014816461602212838,107923,origin
ICT,0.5772571256025442,-0.006914416877388252,tf_ccrth_cancellation_logit_stack,0.34655170307764027,-0.0011469318549436336,10780,origin
IND,0.5044158783159817,-0.0028496561473303483,tf_ccrth_cancellation_logit_stack,0.2997212031627068,-0.0006437627889956943,45448,origin
JAX,0.518008821917155,-0.002633205939316152,tf_ccrth_cancellation_logit_stack,0.3054955774820852,-0.00026298361700932693,27657,origin
JFK,0.5818527623492394,-0.003943123449983821,tf_ccrth_cancellation_logit_stack,0.35610853815015875,-0.0007283995597977544,100462,origin
KOA,0.4054808771829086,-0.0008525040007658635,tf_ccrth_cancellation_logit_stack,0.22317228741817338,-4.403814212824986e-05,15585,origin
LAS,0.5073703413972724,-0.0006047487595335355,tf_ccrth_cancellation_logit_stack,0.31105009304423453,-2.3003816676470112e-05,173080,origin
LAX,0.4682847978748786,-0.0006168881508957225,tf_ccrth_cancellation_logit_stack,0.2798822042533635,-4.225267834917501e-05,178888,origin
LGA,0.6232534510692694,-0.007364503587128368,tf_ccrth_cancellation_logit_stack,0.3807588696767947,-0.0015111693057988096,129295,origin
LGB,0.3980680874790483,-0.00011409173576643061,tf_ccrth_cancellation_logit_stack,0.22907306464927704,-3.351878460788882e-06,16513,origin
LIH,0.42610588052530446,-0.0013902105298196354,tf_ccrth_cancellation_logit_stack,0.2396178485960405,-0.00010793635498612675,15466,origin
LIT,0.5576307308499371,-0.0033695872681133165,tf_ccrth_cancellation_logit_stack,0.33448602309257297,-0.0004056687437197226,12520,origin
MAF,0.5022223334693686,-0.00252172918856719,tf_ccrth_cancellation_logit_stack,0.2939700486714313,-0.00017413843741026502,9750,origin
MCI,0.5209795410673792,-0.0034294148614699704,tf_ccrth_cancellation_logit_stack,0.3146728722205174,-0.0007230754979828946,47217,origin
MCO,0.5384778490919481,-0.0010795899896733907,tf_ccrth_cancellation_logit_stack,0.33284782300466076,-5.329695396460998e-05,150588,origin
MDW,0.5211170205520436,-0.0019472177012601621,tf_ccrth_cancellation_logit_stack,0.3197149112065491,-0.00026661750876760815,71497,origin
MEM,0.5249736673968382,-0.0023460761954940956,tf_ccrth_cancellation_logit_stack,0.31262886806234214,-0.0004413924139131664,23500,origin
MIA,0.583786618805047,-0.001836882369523063,tf_ccrth_cancellation_logit_stack,0.36581033869396934,-0.00016017631842962787,104569,origin
MKE,0.5240414019391155,-0.003188235529204664,tf_ccrth_cancellation_logit_stack,0.31437207304686726,-0.0004663210055755318,27310,origin
MSN,0.530080076856922,-0.003135276365524242,tf_ccrth_cancellation_logit_stack,0.3160930328000229,-0.0005251042833677166,12612,origin
MSP,0.5002742593021644,-0.0011101860391560248,tf_ccrth_cancellation_logit_stack,0.30636165529518505,-0.00012822471527312862,91402,origin
MSY,0.546037888628093,-0.002866371130645917,tf_ccrth_cancellation_logit_stack,0.327815856011456,-0.00026926661871523594,50424,origin
MYR,0.5552167590607759,-0.0029300222908681395,tf_ccrth_cancellation_logit_stack,0.3264433429771871,-0.0004106999432559322,12929,origin
OAK,0.4426179003092326,-0.0003232757721810531,tf_ccrth_cancellation_logit_stack,0.2638728153019085,-1.1343156781085106e-05,33273,origin
OGG,0.4286041948092289,-0.0006671851093612569,tf_ccrth_cancellation_logit_stack,0.24228745096940463,-5.807584600417415e-05,24858,origin
OKC,0.5246173958254862,-0.0025198212510776363,tf_ccrth_cancellation_logit_stack,0.3154658277209919,-0.0003005245909088461,23776,origin
OMA,0.49322424232069473,-0.002406190585645007,tf_ccrth_cancellation_logit_stack,0.2927280783980917,-0.00037545223886187307,23836,origin
ONT,0.4561957539438209,-0.0007365730902862411,tf_ccrth_cancellation_logit_stack,0.2682326132121297,-4.365555468088811e-05,25833,origin
ORD,0.5789438202131248,-0.002937742086410622,tf_ccrth_cancellation_logit_stack,0.35861931614214027,-0.0004219378814957486,257943,origin
ORF,0.5558360832596041,-0.005237199694489436,tf_ccrth_cancellation_logit_stack,0.3304102227001951,-0.0009057640098861786,19573,origin
PBI,0.5682183911051201,-0.0029882099991035416,tf_ccrth_cancellation_logit_stack,0.3495123672529101,-0.00027556185589994175,28349,origin
PDX,0.47599297272432217,-0.00033157659817223406,tf_ccrth_cancellation_logit_stack,0.2843201149979643,-1.321634546480599e-05,58871,origin
PHL,0.6035259301230924,-0.0032367263876312835,tf_ccrth_cancellation_logit_stack,0.37165231943646854,-0.0005299636217807602,92497,origin
PHX,0.5014091519991476,-0.0005132038463425692,tf_ccrth_cancellation_logit_stack,0.3060149169413717,-2.135254834317868e-05,175652,origin
PIT,0.491294707587915,-0.0027549477042036474,tf_ccrth_cancellation_logit_stack,0.29094864217870586,-0.0005228470674008556,41531,origin
PNS,0.5456936463131009,-0.00286967747920297,tf_ccrth_cancellation_logit_stack,0.3158926249393321,-0.00029252231878440504,13723,origin
PSP,0.4807330998245425,-0.0003654353126549825,tf_ccrth_cancellation_logit_stack,0.29135327046865034,-2.7055143578424978e-05,14520,origin
PVD,0.5408610852586148,-0.004513039676527275,tf_ccrth_cancellation_logit_stack,0.3241679736647512,-0.0007815739675167688,15164,origin
PWM,0.5480112200440873,-0.004626560205070462,tf_ccrth_cancellation_logit_stack,0.3267547600964893,-0.000996744447975817,10630,origin
RDU,0.523083072993943,-0.0034072437173537917,tf_ccrth_cancellation_logit_stack,0.3125168060920891,-0.00046401983095623045,54711,origin
RIC,0.5477754581457496,-0.004303824238181431,tf_ccrth_cancellation_logit_stack,0.32854407084503745,-0.000747743786864985,17525,origin
RNO,0.4850868396931212,-0.0011713975243689556,tf_ccrth_cancellation_logit_stack,0.2857826869537108,-3.127083424470101e-05,20662,origin
ROC,0.5612712413204638,-0.0029522683570183395,tf_ccrth_cancellation_logit_stack,0.33816026968688534,-0.0004392132521444658,9914,origin
RSW,0.5140383459692885,-0.0017762690826349514,tf_ccrth_cancellation_logit_stack,0.3094885384767846,-0.0001484273989899032,33899,origin
