model,regularization_c,selected_on_h1,q4_n,q4_joint_log_loss,q4_joint_log_loss_delta_vs_flare24,q4_multiclass_brier,q4_multiclass_brier_delta_vs_flare24,h1_n,h1_joint_log_loss,h1_joint_log_loss_delta_vs_flare24,h1_multiclass_brier,h1_multiclass_brier_delta_vs_flare24
c_0p0001,0.0001,False,1240560,0.44209491399587486,0.00014176196269682917,0.2649320568929648,2.6496751637405946e-05,2840551,0.5323915742139185,-0.00023556542093883248,0.3216599215508456,7.295589722339235e-05
c_0p0003,0.0003,False,1240560,0.4418518310760783,-0.00010132095709974864,0.2649117002566539,6.1401153265139286e-06,2840551,0.5306642943780806,-0.001962845256776702,0.32137603654919034,-0.0002109291044318784
c_0p001,0.001,True,1240560,0.44175483328589776,-0.00019831874728026833,0.2649072755866382,1.7154453108014778e-06,2840551,0.5303668757226181,-0.002260263912239213,0.32128972596212524,-0.0002972396914969755
c_0p003,0.003,False,1240560,0.4416957785707767,-0.0002573734624013446,0.26490647298918474,9.128478573594556e-07,2840551,0.5305892754377629,-0.0020378641970943967,0.3212965465063881,-0.0002904191472341
c_0p01,0.01,False,1240560,0.44166910601555953,-0.0002840460176185,0.26490744984044895,1.889699121571109e-06,2840551,0.5309345234902804,-0.0016926161445769417,0.32132444445983527,-0.0002625211937869465
c_0p03,0.03,False,1240560,0.4416641623401451,-0.0002889896930329261,0.26490844860000595,2.888458678573791e-06,2840551,0.5311232476384473,-0.0015038919964099895,0.3213404955058583,-0.00024647014776391085
c_0p1,0.1,False,1240560,0.4416633989333444,-0.00028975309983364506,0.26490897202047614,3.411879148762509e-06,2840551,0.5312070351381177,-0.0014201044967395715,0.3213476469493448,-0.00023931870427740254
