period,method,display_name,evidence_role,joint_n,joint_log_loss,joint_log_loss_delta_vs_flare24,multiclass_brier,multiclass_brier_delta_vs_flare24,cancellation_n,cancellation_log_loss,cancellation_brier,cancellation_roc_auc,cancellation_average_precision,cancellation_ece_equal_mass,delay_log_loss,delay_brier
2025_full_primary,flare24,FLARE-24,post-hoc descriptive; architecture informed by 2025,5754266,0.5395768337840675,0.0,0.3272176334750005,0.0,5768943,0.06749678833175843,0.013654580251082602,0.7893411504601457,0.08545232001817597,0.0063618573525416324,0.47876280719813935,0.15476640516221038
2025_full_primary,tf_ccrth_cancellation_logit_stack,TF-CC-RTH cancellation logit stack,post-hoc descriptive; architecture informed by 2025,5754266,0.5373769924558165,-0.0021998413282510176,0.32691054751968507,-0.0003070859553154226,5768943,0.06531201040332547,0.013475261487221517,0.8001506401335098,0.09710243138349908,0.004438981731214608,0.4787628071978372,0.15476640516279572
2025_h2_held_forward,flare24,FLARE-24,execution-held-forward; not epistemically blind,2881998,0.5449758506935442,0.0,0.33177201566076864,0.0,2889549,0.06708547441517873,0.01342937713518943,0.7779910829809424,0.07635009202516753,0.006184144571196843,0.4845109016838007,0.15724536362456296
2025_h2_held_forward,tf_ccrth_cancellation_logit_stack,TF-CC-RTH cancellation logit stack,execution-held-forward; not epistemically blind,2881998,0.5428731090272734,-0.00210274166627078,0.3314824319023641,-0.00028958375840454353,2889549,0.06499633659984734,0.013263021618694644,0.7903117812149462,0.08788090039117132,0.004243224721911156,0.48451090168438965,0.15724536362590152
