candidate,reference,metric,estimate,lower,upper,clusters,repetitions,negative_favors_candidate
raw_demand,flare24,joint_log_loss,-0.0003938717824505342,-0.0012013136085474332,0.0003267416853715693,361,2000,True
raw_demand,flare24,multiclass_brier,0.00048541773550837445,0.0002943220149054226,0.0006928287488070133,361,2000,True
normalized_capacity,raw_demand,joint_log_loss,-0.00036809421073019346,-0.000881687277123061,0.00020083456495088845,361,2000,True
normalized_capacity,raw_demand,multiclass_brier,-0.00014613599184076144,-0.0003723623074131454,8.363890338261733e-05,361,2000,True
queue_shadow,normalized_capacity,joint_log_loss,0.001020701107838154,0.00045912629982155216,0.0016650738768469635,361,2000,True
queue_shadow,normalized_capacity,multiclass_brier,0.0002039197878867426,-3.49113797582292e-05,0.0004310843299581718,361,2000,True
hypergraph,queue_shadow,joint_log_loss,0.0003788240983702172,-9.770132495891617e-05,0.0009036683849119486,361,2000,True
hypergraph,queue_shadow,multiclass_brier,4.317382175206972e-05,-0.00012627601956232388,0.00019879398178141263,361,2000,True
global_simplex,flare24,joint_log_loss,5.517142640576139e-13,-2.1106324704293756e-12,3.0956799767527735e-12,361,2000,True
global_simplex,flare24,multiclass_brier,3.579103951550693e-14,-2.1582828292208813e-12,2.0876359710071017e-12,361,2000,True
capacity_gated_simplex,flare24,joint_log_loss,-1.7456397860727196e-05,-2.401470592541602e-05,-1.147508225737057e-05,361,2000,True
capacity_gated_simplex,flare24,multiclass_brier,-7.811407948505675e-07,-2.484800309986419e-06,9.662669450504144e-07,361,2000,True
