method,display_name,n,joint_log_loss,joint_log_loss_delta_vs_flare24,joint_log_loss_relative_change_percent,multiclass_brier,multiclass_brier_delta_vs_flare24,multiclass_brier_relative_change_percent
flare24,FLARE-24,5754266,0.5395768337835158,0.0,0.0,0.3272176334749647,0.0,0.0
raw_demand,+ demand,5754266,0.5391829620010653,-0.0003938717824505389,-0.07299642197177142,0.327703051210473,0.0004854177355083089,0.1483470589140631
normalized_capacity,+ normalized capacity,5754266,0.5388148677903353,-0.0007619659931805689,-0.14121547580863675,0.32755691521863234,0.00033928174366765207,0.10368687654897131
queue_shadow,+ queue / shadow price,5754266,0.5398355688981733,0.00025873511465746013,0.04795148687967347,0.32776083500651904,0.0005432015315543492,0.16600619159355587
hypergraph,+ graph messages,5754266,0.5402143929965435,0.0006375592130276608,0.1181591152750373,0.3278040088282711,0.000586375353306412,0.1792004138283322
global_simplex,Global simplex,5754266,0.5395768337840675,5.516698209362403e-13,1.0224119836056125e-10,0.3272176334750005,3.58046925441613e-14,1.0942164749474206e-11
capacity_gated_simplex,Capacity-gated simplex,5754266,0.5395593773856552,-1.745639786066011e-05,-0.0032352015074953735,0.32721685233416986,-7.811407948254967e-07,-0.0002387220965233408
