feature,nonmissing_fraction,used_by_flare24,used_by_hypergraph,used_by_normalized_capacity,used_by_queue_shadow,used_by_raw_demand
ccrth_origin_movement_demand_120m_log1p,1.0,False,True,True,True,True
ccrth_origin_movement_demand_15m_log1p,1.0,False,True,True,True,True
ccrth_origin_movement_demand_30m_log1p,1.0,False,True,True,True,True
ccrth_origin_movement_demand_60m_log1p,1.0,False,True,True,True,True
ccrth_origin_movement_frontier_p50,1.0,False,True,True,True,False
ccrth_origin_movement_frontier_p75,1.0,False,True,True,True,False
ccrth_origin_movement_frontier_p90,1.0,False,True,True,True,False
ccrth_origin_movement_loo_30m_log1p,1.0,False,True,True,True,True
ccrth_origin_movement_utilization,1.0,False,True,True,True,False
ccrth_origin_optional_constraint_available,1.0,False,False,False,False,False
ccrth_origin_optional_constraint_overload_probability,0.0,False,False,False,False,False
ccrth_origin_orientation_family_count,1.0,False,True,True,True,True
ccrth_origin_overload_probability,1.0,False,True,True,True,False
ccrth_origin_physical_runway_count,1.0,False,True,True,True,True
ccrth_origin_queue_p90,1.0,False,True,False,True,False
ccrth_origin_recovery_minutes,1.0,False,True,False,True,False
ccrth_origin_runway_catalog_missing,1.0,False,False,False,False,False
ccrth_origin_runway_configuration_entropy,1.0,False,True,True,True,False
ccrth_origin_runway_effective_end_count,1.0,False,True,True,True,False
ccrth_origin_runway_feasible_end_fraction,0.975731335228971,False,True,True,True,False
ccrth_origin_same_direction_loo_30m_log1p,1.0,False,True,True,True,True
ccrth_origin_shadow_price,1.0,False,True,False,True,False
ccrth_origin_weather_capacity_stress,0.9770503786839312,False,True,True,True,False
ccrth_rotation_connected_probability,1.0,False,True,False,False,False
ccrth_rotation_predecessor_capacity_overload,0.9923773387807194,False,True,False,False,False
ccrth_rotation_predecessor_capacity_queue,0.9923773387807194,False,True,False,False,False
ccrth_rotation_predecessor_capacity_shadow_price,0.9923773387807194,False,True,False,False,False
ccrth_rotation_resource_message_coverage,1.0,False,True,False,False,False
ccrth_route_bottleneck_is_destination,1.0,False,True,False,False,False
ccrth_route_max_metro_utilization,1.0,False,True,False,False,False
ccrth_route_max_overload_probability,1.0,False,True,False,False,False
ccrth_route_max_queue_p90,1.0,False,True,False,False,False
ccrth_route_max_weather_capacity_stress,0.9770503786839312,False,True,False,False,False
ccrth_route_min_expected_slack,1.0,False,True,False,False,False
ccrth_route_sum_shadow_price,1.0,False,True,False,False,False
