regime,rows,observed_rows,method,joint_log_loss,multiclass_brier,argmax_accuracy,on_time_prevalence,delay_prevalence,cancellation_prevalence,gating_feature_mean,gating_feature_p90
low,3094028,3086104,schedule_baseline,0.5564997746494287,0.3381286706150614,0.7678632994869907,0.7657198202004858,0.22006030904985704,0.014219870749657172,-0.10501963201915643,-0.006259642355144015
low,3094028,3086104,meta_current,0.5380762553645722,0.32732044766498514,0.7735034204939302,0.7657198202004858,0.22006030904985704,0.014219870749657172,-0.10501963201915643,-0.006259642355144015
low,3094028,3086104,boundary_gated_ensemble,0.5391267969771527,0.32706891942756783,0.773719550604905,0.7657198202004858,0.22006030904985704,0.014219870749657172,-0.10501963201915643,-0.006259642355144015
elevated,2133914,2128590,schedule_baseline,0.5494202802748713,0.33321763874877397,0.7708534757750436,0.7685153082556998,0.2175383704705932,0.013946321273707008,0.052456682162873504,0.1448647379875183
elevated,2133914,2128590,meta_current,0.5312581478030889,0.3227549924681403,0.77646939993141,0.7685153082556998,0.2175383704705932,0.013946321273707008,0.052456682162873504,0.1448647379875183
elevated,2133914,2128590,boundary_gated_ensemble,0.5322791107701662,0.3225429669521547,0.7766606063168576,0.7685153082556998,0.2175383704705932,0.013946321273707008,0.052456682162873504,0.1448647379875183
severe,541001,539572,schedule_baseline,0.5782540129373555,0.3532211923034883,0.7521127856893982,0.7493828441802021,0.23488987567924208,0.015727280140555848,0.5205497571545625,0.7996964454650879
severe,541001,539572,meta_current,0.5575161276955752,0.340959605753167,0.7597225208127923,0.7493828441802021,0.23488987567924208,0.015727280140555848,0.5205497571545625,0.7996964454650879
severe,541001,539572,boundary_gated_ensemble,0.5589151179211321,0.3407704675844192,0.7598985862869089,0.7493828441802021,0.23488987567924208,0.015727280140555848,0.5205497571545625,0.7996964454650879
