year,month,method,rows,joint_log_loss,multiclass_brier,joint_log_loss_minus_baseline,multiclass_brier_minus_baseline
2025,1,baseline,450194,0.5910671777716424,0.33551338798109814,0.0,0.0
2025,1,weather,450194,0.5581897467930013,0.31689841813930403,-0.03287743097864115,-0.018614969841794116
2025,1,rotation_structural,450194,0.5575072263246796,0.3159620673107737,-0.03355995144696278,-0.019551320670324446
2025,1,rotation_risk,450194,0.5574648282167292,0.3166319497244317,-0.03360234955491326,-0.01888143825666644
2025,1,ensemble,450194,0.5575072263246796,0.3159620673107737,-0.03355995144696278,-0.019551320670324446
2025,1,reconciled,450194,0.5575072263246796,0.3159620673107737,-0.03355995144696278,-0.019551320670324446
2025,2,baseline,420845,0.5417505368457468,0.32332733924396767,0.0,0.0
2025,2,weather,420845,0.5130976358268954,0.3075599724443811,-0.02865290101885143,-0.01576736679958657
2025,2,rotation_structural,420845,0.5134558010916938,0.3060841084414784,-0.028294735754053058,-0.017243230802489296
2025,2,rotation_risk,420845,0.5141122521304877,0.30788253196729914,-0.027638284715259087,-0.015444807276668526
2025,2,ensemble,420845,0.5134558010916938,0.3060841084414784,-0.028294735754053058,-0.017243230802489296
2025,2,reconciled,420845,0.5134558010916938,0.3060841084414784,-0.028294735754053058,-0.017243230802489296
2025,3,baseline,500143,0.5216563727247917,0.31230209045837687,0.0,0.0
2025,3,weather,500143,0.4962277040152707,0.29794547116151066,-0.025428668709520985,-0.014356619296866213
2025,3,rotation_structural,500143,0.49344923553749204,0.2962549204219002,-0.02820713718729967,-0.016047170036476655
2025,3,rotation_risk,500143,0.49632432486374606,0.29831821287042587,-0.025332047861045648,-0.013983877587950999
2025,3,ensemble,500143,0.49344923553749204,0.2962549204219002,-0.02820713718729967,-0.016047170036476655
2025,3,reconciled,500143,0.49344923553749204,0.2962549204219002,-0.02820713718729967,-0.016047170036476655
2025,4,baseline,490292,0.5082638607220262,0.3084596591580688,0.0,0.0
2025,4,weather,490292,0.49082892790703103,0.2983513216327338,-0.017434932814995197,-0.010108337525334965
2025,4,rotation_structural,490292,0.49034821578366133,0.2979507717685585,-0.017915644938364894,-0.01050888738951028
2025,4,rotation_risk,490292,0.49097885705949285,0.29857531546782484,-0.017285003662533382,-0.009884343690243935
2025,4,ensemble,490292,0.49034821578366133,0.2979507717685585,-0.017915644938364894,-0.01050888738951028
2025,4,reconciled,490292,0.49034821578366133,0.2979507717685585,-0.017915644938364894,-0.01050888738951028
2025,5,baseline,506343,0.558710347925044,0.3485492664374887,0.0,0.0
2025,5,weather,506343,0.5427398692630865,0.3372078052067979,-0.015970478661957555,-0.011341461230690797
2025,5,rotation_structural,506343,0.5419003591157375,0.3359771678687511,-0.01680998880930651,-0.012572098568737589
2025,5,rotation_risk,506343,0.5426281558664258,0.33718542941080376,-0.016082192058618272,-0.01136383702668492
2025,5,ensemble,506343,0.5419003591157375,0.3359771678687511,-0.01680998880930651,-0.012572098568737589
2025,5,reconciled,506343,0.5419003591157375,0.3359771678687511,-0.01680998880930651,-0.012572098568737589
2025,6,baseline,503142,0.6036378337727308,0.3786808890671349,0.0,0.0
2025,6,weather,503142,0.593499692525088,0.3707750502545822,-0.010138141247642785,-0.00790583881255269
2025,6,rotation_structural,503142,0.5913118754790496,0.36942144439448954,-0.012325958293681216,-0.009259444672645334
2025,6,rotation_risk,503142,0.5924939951721154,0.37068584389189246,-0.011143838600615408,-0.00799504517524241
2025,6,ensemble,503142,0.5913118754790496,0.36942144439448954,-0.012325958293681216,-0.009259444672645334
2025,6,reconciled,503142,0.5913118754790496,0.36942144439448954,-0.012325958293681216,-0.009259444672645334
2025,7,baseline,516990,0.6390773906223302,0.39302694483341033,0.0,0.0
2025,7,weather,516990,0.6246920765689443,0.38417087700986313,-0.014385314053385834,-0.008856067823547198
