joint_log_loss,multiclass_brier,weight_baseline,weight_rotation_risk,weight_rotation_structural,weight_weather
0.443200584174394,0.2657264264262798,0.0,1.0,0.0,0.0
0.44309972902709915,0.2656714004572891,0.0,0.95,0.05,0.0
0.44300331608572313,0.265617846346642,0.0,0.9,0.1,0.0
0.4429111732724243,0.2655657640943385,0.0,0.85,0.15,0.0
0.4428231724856261,0.26551515370037865,0.0,0.8,0.2,0.0
0.4427392176070876,0.26546601516476237,0.0,0.75,0.25,0.0
0.44265923706390037,0.2654183484874897,0.0,0.7,0.3,0.0
0.442583178989507,0.2653721536685606,0.0,0.65,0.35,0.0
0.4425110079940414,0.26532743070797515,0.0,0.6,0.4,0.0
0.4424427030022025,0.26528417960573336,0.0,0.55,0.45,0.0
0.4423782558475865,0.2652424003618351,0.0,0.5,0.5,0.0
0.4423176704423234,0.26520209297628045,0.0,0.45,0.55,0.0
0.44226096242109875,0.26516325744906943,0.0,0.4,0.6,0.0
0.44220815921424367,0.265125893780202,0.0,0.35,0.65,0.0
0.44215930054976266,0.2650900019696782,0.0,0.3,0.7,0.0
0.44211443942890083,0.265055582017498,0.0,0.25,0.75,0.0
0.4420736436740086,0.2650226339236615,0.0,0.2,0.8,0.0
0.4420369982246591,0.2649911576881685,0.0,0.15,0.85,0.0
0.4420046084821537,0.2649611533110191,0.0,0.1,0.9,0.0
0.4419766052223706,0.26493262079221336,0.0,0.05,0.95,0.0
0.44195315202320395,0.26490556013175115,0.0,0.0,1.0,0.0
0.44319959576827933,0.2657326179836036,0.0,0.95,0.0,0.05
0.44310061718792837,0.2656780702162642,0.0,0.9,0.05,0.05
0.4430059831469579,0.2656249943072684,0.0,0.85,0.1,0.05
0.4429155441066069,0.2655733902566162,0.0,0.8,0.15,0.05
0.4428291883854234,0.26552325806430754,0.0,0.75,0.2,0.05
0.4427468324691945,0.2654745977303426,0.0,0.7,0.25,0.05
0.44266841488251213,0.2654274092547212,0.0,0.65,0.3,0.05
0.4425938921601984,0.2653816926374435,0.0,0.6,0.35,0.05
0.44252323615515643,0.2653374478785093,0.0,0.55,0.4,0.05
0.44245643225659015,0.2652946749779187,0.0,0.5,0.45,0.05
0.44239347827237857,0.26525337393567183,0.0,0.45,0.5,0.05
0.4423343838343015,0.26521354475176845,0.0,0.4,0.55,0.05
0.4422791702525723,0.26517518742620877,0.0,0.35,0.6,0.05
0.44222787079627324,0.26513830195899263,0.0,0.3,0.65,0.05
0.44218053142080654,0.2651028883501201,0.0,0.25,0.7,0.05
0.44213721201210515,0.26506894659959124,0.0,0.2,0.75,0.05
0.4420979882814716,0.26503647670740593,0.0,0.15,0.8,0.05
0.442062954542427,0.2650054786735642,0.0,0.1,0.85,0.05
0.4420322277659206,0.2649759524980661,0.0,0.05,0.9,0.05
0.44200595361625483,0.26494789818091163,0.0,0.0,0.95,0.05
0.44320315097855906,0.2657397299141009,0.0,0.9,0.0,0.1
0.4431059430739794,0.2656856603484127,0.0,0.85,0.05,0.1
0.4430130032536386,0.2656330626410682,0.0,0.8,0.1,0.1
0.44292419990634124,0.2655819367920673,0.0,0.75,0.15,0.1
0.44283943475518306,0.26553228280140995,0.0,0.7,0.2,0.1
0.44275863483148087,0.2654841006690963,0.0,0.65,0.25,0.1
0.4426817473228196,0.26543739039512615,0.0,0.6,0.3,0.1
0.4426087361665839,0.2653921519794997,0.0,0.55,0.35,0.1
0.44253957978388714,0.2653483854222169,0.0,0.5,0.4,0.1
0.44247426961158076,0.2653060907232776,0.0,0.45,0.45,0.1
0.4424128092349515,0.26526526788268195,0.0,0.4,0.5,0.1
0.44235521401161504,0.2652259169004299,0.0,0.35,0.55,0.1
0.44230151113706145,0.26518803777652145,0.0,0.3,0.6,0.1
0.4422517401503568,0.2651516305109566,0.0,0.25,0.65,0.1
0.44220595392569817,0.2651166951037354,0.0,0.2,0.7,0.1
0.44216422025254637,0.2650832315548578,0.0,0.15,0.75,0.1
0.4421266241886838,0.2650512398643238,0.0,0.1,0.8,0.1
0.4420932715028199,0.2650207200321334,0.0,0.05,0.85,0.1
0.442064293759909,0.2649916720582866,0.0,0.0,0.9,0.1
0.44321086283623323,0.26574776221777147,0.0,0.85,0.0,0.15
0.44311534638771405,0.26569417085373465,0.0,0.8,0.05,0.15
0.44302403785468564,0.2656420513480414,0.0,0.75,0.1,0.15
0.44293682031270754,0.2655914037006918,0.0,0.7,0.15,0.15
0.44285360675518315,0.2655422279116858,0.0,0.65,0.2,0.15
0.4427743333081532,0.26549452398102336,0.0,0.6,0.25,0.15
0.44269895482999777,0.26544829190870456,0.0,0.55,0.3,0.15
0.4426274419994578,0.26540353169472936,0.0,0.5,0.35,0.15
0.44255977940138824,0.2653602433390978,0.0,0.45,0.4,0.15
0.442495964330836,0.26531842684180984,0.0,0.4,0.45,0.15
0.442436006156699,0.2652780822028655,0.0,0.35,0.5,0.15
0.4423799261628249,0.2652392094222647,0.0,0.3,0.55,0.15
0.44232775784032824,0.2652018085000076,0.0,0.25,0.6,0.15
0.44227954765427074,0.265165879436094,0.0,0.2,0.65,0.15
0.4422353563620111,0.26513142223052405,0.0,0.15,0.7,0.15
0.4421952610328751,0.26509843688329776,0.0,0.1,0.75,0.15
0.4421593580308584,0.26506692339441507,0.0,0.05,0.8,0.15
0.44212776741601506,0.26503688176387596,0.0,0.0,0.85,0.15
0.443222462669911,0.26575671489461555,0.0,0.8,0.0,0.2
0.44312857719842175,0.26570360173223,0.0,0.75,0.05,0.2
0.44303885262384635,0.265651960428188,0.0,0.7,0.1,0.2
0.442953184343281,0.26560179098248965,0.0,0.65,0.15,0.2
0.44287149506254936,0.265553093395135,0.0,0.6,0.2,0.2
0.44279372895966534,0.2655058676661239,0.0,0.55,0.25,0.2
0.44271984787886826,0.26546011379545636,0.0,0.5,0.3,0.2
0.4426498288245369,0.26541583178313244,0.0,0.45,0.35,0.2
0.4425836623495693,0.26537302162915216,0.0,0.4,0.4,0.2
0.44252135160791173,0.2653316833335155,0.0,0.35,0.45,0.2
0.44246291194496257,0.2652918168962224,0.0,0.3,0.5,0.2
0.44240837096944147,0.26525342231727295,0.0,0.25,0.55,0.2
0.44235776910591684,0.2652164995966671,0.0,0.2,0.6,0.2
0.442311160682159,0.26518104873440485,0.0,0.15,0.65,0.2
0.44226861567321923,0.2651470697304862,0.0,0.1,0.7,0.2
0.4422302223238428,0.2651145625849112,0.0,0.05,0.75,0.2
0.4421960910378839,0.2650835272976797,0.0,0.0,0.8,0.2
0.4432377560292855,0.265766587944633,0.0,0.75,0.0,0.25
0.44314545516899045,0.26571395298389877,0.0,0.7,0.05,0.25
0.44305727923883215,0.26566278988150804,0.0,0.65,0.1,0.25
0.44297313419252854,0.265613098637461,0.0,0.6,0.15,0.25
0.4428929512979336,0.26556487925175765,0.0,0.55,0.2,0.25
0.44281668204147623,0.26551813172439775,0.0,0.5,0.25,0.25
0.44274429480441496,0.26547285605538157,0.0,0.45,0.3,0.25
0.44267577270149366,0.265429052244709,0.0,0.4,0.35,0.25
0.4426111122417914,0.26538672029238,0.0,0.35,0.4,0.25
0.4425503226216128,0.2653458601983945,0.0,0.3,0.45,0.25
0.4424934255526237,0.2653064719627528,0.0,0.25,0.5,0.25
0.44244045559586365,0.2652685555854546,0.0,0.2,0.55,0.25
0.4423914610320346,0.2652321110665,0.0,0.15,0.6,0.25
0.44234650536556247,0.26519713840588904,0.0,0.1,0.65,0.25
0.4423056696528355,0.2651636376036217,0.0,0.05,0.7,0.25
0.4422690559953533,0.2651316086596979,0.0,0.0,0.75,0.25
0.4432565996289648,0.26577738136782386,0.0,0.7,0.0,0.3
