method,display_name,n,joint_log_loss,joint_log_loss_delta_vs_schedule,joint_log_loss_delta_vs_previous_meta,multiclass_brier,multiclass_brier_delta_vs_schedule,multiclass_brier_delta_vs_previous_meta,argmax_accuracy,absolute_accuracy_gain_vs_schedule,absolute_accuracy_gain_vs_previous_meta,accuracy_percentage_point_gain_vs_schedule,accuracy_percentage_point_gain_vs_previous_meta,balanced_accuracy
schedule_baseline,Schedule baseline,5754266,0.5559208366807553,0.0,0.01854384422493882,0.33772721694437724,0.0,0.010816669424692171,0.7674925003466992,0.0,-0.0058158590513542885,0.0,-0.5815859051354288,0.34413821066288025
flare24,FLARE-24,5754266,0.5395768337835158,-0.016344002897239474,0.002199841327699348,0.3272176334749647,-0.010509583469412553,0.0003070859552796179,0.7732888955776462,0.0057963952309469935,-1.9463820407294996e-05,0.5796395230946993,-0.0019463820407294996,0.35752761166805863
capacity_gated_simplex,CC-RTH gated,5754266,0.5395593773856552,-0.016361459295100134,0.0021823849298386877,0.32721685233416986,-0.010510364610207379,0.0003063048144847924,0.7732833344861013,0.005790834139402068,-2.5024911952220563e-05,0.5790834139402068,-0.0025024911952220563,0.35750269067845647
meta_current,Previous meta-stack,5754266,0.5373769924558165,-0.01854384422493882,0.0,0.32691054751968507,-0.010816669424692171,0.0,0.7733083593980535,0.0058158590513542885,0.0,0.5815859051354288,0.0,0.3587801898417689
boundary_only,BC-POT full view,5754266,0.538733004686051,-0.017187831994704306,0.0013560122302345157,0.3265355585446293,-0.01119165839974795,-0.0003749889750557789,0.773673306030691,0.006180805683991708,0.00036494663263741955,0.6180805683991708,0.036494663263741955,0.3580601873394061
counterfactual_residual,BC-POT residual view,5754266,0.5381680795073389,-0.0177527571734164,0.0007910870515224211,0.32661252936369956,-0.011114687580677685,-0.0002980181559855133,0.7734777989060638,0.0059852985593645824,0.00016943950801029395,0.5985298559364582,0.016943950801029395,0.3574357235694756
boundary_ensemble,BC-POT global ensemble,5754266,0.5384178764810653,-0.01750296019969,0.0010408840252488227,0.3266648267987911,-0.011062390145586132,-0.00024572072089396046,0.7735219400702018,0.006029439723502561,0.00021358067214827248,0.6029439723502561,0.021358067214827248,0.35755891030681347
boundary_gated_ensemble,BC-POT residual-gated ensemble,5754266,0.5384492661721909,-0.017471570508564405,0.0010722737163744167,0.32667948219307935,-0.011047734751297889,-0.00023106532660571721,0.773511513023555,0.006019012676855784,0.0002031536255014954,0.6019012676855784,0.02031536255014954,0.35752780804007944
