accuracy,accuracy_delta_vs_meta,airport,joint_log_loss,joint_log_loss_delta_vs_meta,multiclass_brier,multiclass_brier_delta_vs_meta,n,role,selected_method
0.8265675241157556,-8.03858520900258e-05,ABQ,0.45424008214053285,0.0006037045375588135,0.26588599286291353,-6.986236261313783e-05,24880,origin,boundary_gated_ensemble
0.7786246754334534,0.001088868414440003,ALB,0.5404332630909164,0.0027303357103137804,0.3219222294523017,0.00020226414404167503,11939,origin,boundary_gated_ensemble
0.8241349275477077,-0.0002375484994853183,ANC,0.47160329422146097,0.00023039537007807365,0.2780498015390853,0.00029962506713615555,12629,origin,boundary_gated_ensemble
0.7569571334771598,0.00014257574336362655,ATL,0.5690808186613254,0.0013689805292601553,0.347720889725918,-0.0002058151250605711,266525,origin,boundary_gated_ensemble
0.774772368580794,0.00018210513536487394,AUS,0.5233886964814389,-0.00030939145493791287,0.32185888319869876,-0.0006892660625871239,82370,origin,boundary_gated_ensemble
0.7811456685995432,0.0004832191179054979,BDL,0.5252566625681542,0.0010397753175691582,0.3166076129884875,-0.00023757426266829418,22764,origin,boundary_gated_ensemble
0.794266137756942,6.010337780992803e-05,BHM,0.5203719850955735,0.0024698849334250372,0.30439560922612924,0.0002694575425032375,16638,origin,boundary_gated_ensemble
0.7728553239696432,0.0007819784053655354,BNA,0.529335137874029,-7.842224888654492e-05,0.32340227794284465,-0.001069118837707661,99747,origin,boundary_gated_ensemble
0.8386119764624438,0.0003894080996884597,BOI,0.42253160154625363,-0.000717154687106536,0.25119005281076884,-0.0004649300670976908,23112,origin,boundary_gated_ensemble
0.7560360282211427,0.0009108258154059135,BOS,0.5609063702700712,0.0014715739866789646,0.3426410835969898,-0.00040486821036489484,138336,origin,boundary_gated_ensemble
0.7772651418474527,-4.90821635417138e-05,BUF,0.5379535521811448,0.002191865450382191,0.3220645195597344,0.000364205695224995,20374,origin,boundary_gated_ensemble
0.8218311517884181,0.00010094552306605387,BUR,0.48231078697503627,-0.00010521043510725026,0.27836531733075104,-0.0005604621015003475,29719,origin,boundary_gated_ensemble
0.7759735944353374,-0.0003655132692392815,BWI,0.5319757158477474,0.001286802827608624,0.32172956209291975,-6.483949093422092e-05,90284,origin,boundary_gated_ensemble
0.7768584835761917,0.0001234872808101306,CHS,0.5537784140378216,0.0020999861179175072,0.32562250133816406,-0.0004482808414810746,24294,origin,boundary_gated_ensemble
0.7896635836975302,0.0007114544160992109,CLE,0.5198782895781834,0.0013344493200238006,0.30800043518168607,-0.00011377472059170834,39356,origin,boundary_gated_ensemble
0.7516170437671457,6.921199003340206e-05,CLT,0.5762031206777604,0.0016447243539025047,0.35361741501734023,-0.00011039160960640837,158932,origin,boundary_gated_ensemble
0.789478514235896,-0.0003211966870856342,CMH,0.5119334802263893,0.0009589307918075329,0.30631465281895653,-0.00018353051493485983,43587,origin,boundary_gated_ensemble
0.7721101480401933,0.0,COS,0.5473793935809105,0.001079367907526274,0.33136260579652915,-0.000326466921641122,13037,origin,boundary_gated_ensemble
0.774980534648326,0.0001622112639501072,CVG,0.5402865336787963,0.0012847819852800368,0.3259577951625598,-5.6990837625281454e-05,30824,origin,boundary_gated_ensemble
0.7564624403875946,0.0002126302360195842,DAL,0.5568956689448816,0.0018800490192298902,0.34035360658248937,0.00038501975642929454,65842,origin,boundary_gated_ensemble
0.7810103147315525,0.0013224014810896412,DAY,0.5504112352038594,0.0010666045073494113,0.3216708399385532,-0.0007025327819180083,7562,origin,boundary_gated_ensemble
0.7181688912631885,0.0006913401786485807,DCA,0.6560128711837576,0.006385198469181619,0.3928719020226827,0.0004795066718666918,127289,origin,boundary_gated_ensemble
0.7533559255116141,0.00044827926564450227,DEN,0.5428981198468031,-0.00034654494290531357,0.3428527179014525,-0.0004050143744736001,243152,origin,boundary_gated_ensemble
0.6970281378438191,3.6132062689042677e-05,DFW,0.6701707428371402,0.004269877853507187,0.40975246009495425,0.0007162671614124316,221410,origin,boundary_gated_ensemble
0.786962266921157,0.00029364263691089576,DSM,0.539948272578532,0.0025659813579349544,0.3170313127177243,-0.00013889079060735998,13622,origin,boundary_gated_ensemble
0.7818945971354311,0.00040553742926141556,DTW,0.5230696135236419,0.0001137694149515589,0.3191370001447303,-0.00047801109822720456,108498,origin,boundary_gated_ensemble
0.8176340750462328,0.00017896557895358267,ELP,0.4743157607209311,0.0006238245312366053,0.2785690174076502,0.00010304499516106125,16763,origin,boundary_gated_ensemble
0.7377011716518269,-0.0003779522022308024,EWR,0.612806847682147,0.004573414800117526,0.3695713502272203,0.0007769518758188876,113771,origin,boundary_gated_ensemble
0.8140417457305503,0.0003795066413662118,FAT,0.47658757093970106,-0.0002493787177461626,0.28547921771929446,-0.0005160458046081784,13175,origin,boundary_gated_ensemble
0.7583575269805103,0.00028174880256759405,FLL,0.5522607530420659,2.7581650360986032e-05,0.33946475037004514,-0.0006165381284188309,81633,origin,boundary_gated_ensemble
0.8383471259226124,0.0,GEG,0.42622803955653116,-0.0007153706367462598,0.2527363259174806,-0.00048679832240827725,17884,origin,boundary_gated_ensemble
0.7724583109198494,-0.00041838503376967484,GRR,0.5400279035550202,-0.0007064214913293787,0.3264584516003347,-0.0013018777918088476,16731,origin,boundary_gated_ensemble
0.7978943225425563,-9.839614287121545e-05,GSO,0.5333705144360743,0.0032287601035727587,0.30437327379231116,0.0002120237748858278,10163,origin,boundary_gated_ensemble
0.8014754218099481,7.304068366076333e-05,GSP,0.5091118471603743,0.0022427033686607256,0.295268580092854,3.3196480629660297e-05,13691,origin,boundary_gated_ensemble
0.8468340099937539,0.0,HNL,0.4314559798750432,-0.00044548960338708365,0.2474076040783116,-0.00042371655984144163,51232,origin,boundary_gated_ensemble
0.7842260432537248,0.0006529610795622531,HOU,0.5188712736730532,0.0011576725230226792,0.31394669941642345,-0.00019306285700620984,50539,origin,boundary_gated_ensemble
0.7586937674597823,0.0003853193333975824,HPN,0.5800928398243437,0.00495172897506857,0.3438843969711797,0.0004342050131473374,10381,origin,boundary_gated_ensemble
0.7888856272703922,0.0005320515172640983,IAD,0.5084316518344217,1.577571785060794e-05,0.3095308048313981,-0.0003962119974502132,54506,origin,boundary_gated_ensemble
0.7707810198011545,0.00028724182982309276,IAH,0.5451786374215417,0.0006772896965985264,0.3327907693021549,-0.00031428643247466415,107923,origin,boundary_gated_ensemble
0.7616883116883116,0.0005565862708719616,ICT,0.5819499209304329,0.004692795327888688,0.3465932173481052,4.151427046494849e-05,10780,origin,boundary_gated_ensemble
0.796866748811829,0.0004180602006689238,IND,0.5044606100518436,4.473173586194701e-05,0.2990633213469793,-0.0006578818157274569,45448,origin,boundary_gated_ensemble
0.7895650287449831,-0.00032541490400261885,JAX,0.520034428374837,0.0020256064576819055,0.3057021057062897,0.00020652822420447192,27657,origin,boundary_gated_ensemble
0.7463319464075969,-0.0003981604984969467,JFK,0.5854535723806358,0.003600810031396229,0.35696487468026844,0.0008563365301096915,100462,origin,boundary_gated_ensemble
0.8676291305742702,0.0,KOA,0.4053112332970794,-0.0001696438858292404,0.2228273164857837,-0.00034497093238969323,15585,origin,boundary_gated_ensemble
0.7872544488097989,0.00016755257684297753,LAS,0.5072015610411299,-0.0001687803561426504,0.31072681955520554,-0.0003232734890289968,173080,origin,boundary_gated_ensemble
0.819065560574214,0.00020683332587978498,LAX,0.467834005818295,-0.00045079205658365984,0.27934813614865955,-0.0005340681047039664,178888,origin,boundary_gated_ensemble
0.7220542171004293,0.00047952357013036906,LGA,0.6285026593464919,0.005249208277222417,0.38146145003530074,0.0007025803585060664,129295,origin,boundary_gated_ensemble
0.8592623993217465,0.0,LGB,0.3973581944933064,-0.0007098929857419778,0.22861549976520393,-0.0004575648840731139,16513,origin,boundary_gated_ensemble
0.8557480925901979,-6.465795939469832e-05,LIH,0.4258319721404947,-0.0002739083848097845,0.23923784817851246,-0.0003800004175280314,15466,origin,boundary_gated_ensemble
0.7682907348242811,-7.987220447291943e-05,LIT,0.5598307572561279,0.0022000264061907693,0.3343902220310476,-9.580106152534684e-05,12520,origin,boundary_gated_ensemble
0.8081025641025641,-0.00041025641025638215,MAF,0.5032245965824913,0.0010022631131226811,0.29389670906857635,-7.333960285493824e-05,9750,origin,boundary_gated_ensemble
0.7838066797975306,-0.00010589406357874864,MCI,0.5217779666739817,0.000798425606602482,0.3142931501359615,-0.00037972208455588907,47217,origin,boundary_gated_ensemble
0.762829707546418,0.0005179695593273692,MCO,0.5381354258010653,-0.0003424232908827429,0.33224287168940836,-0.0006049513152524,150588,origin,boundary_gated_ensemble
0.7758367483950376,4.195980250920606e-05,MDW,0.5210285576007088,-8.846295133480009e-05,0.31882804281247773,-0.0008868683940713717,71497,origin,boundary_gated_ensemble
0.7908085106382978,0.0001276595744680309,MEM,0.5260446695199402,0.0010710021231020717,0.312486984514552,-0.00014188354779015588,23500,origin,boundary_gated_ensemble
0.7364993449301418,-0.00039208560854553376,MIA,0.5841524042963091,0.0003657854912620939,0.3654104914737929,-0.00039984722017644136,104569,origin,boundary_gated_ensemble
0.7864518491395094,0.000695715854998169,MKE,0.5248335398730579,0.000792137933942394,0.3134193041888758,-0.0009527688579914484,27310,origin,boundary_gated_ensemble
0.7867110688233429,0.0005550269584522205,MSN,0.5308696998645794,0.0007896230076573918,0.31552229466925985,-0.0005707381307630266,12612,origin,boundary_gated_ensemble
0.7920833242161003,0.0003282203890505597,MSP,0.5002247283767174,-4.953092544701665e-05,0.30577765282919434,-0.0005840024659907184,91402,origin,boundary_gated_ensemble
0.7747897826431858,0.00017848643503093342,MSY,0.5481833370997056,0.0021454484716125766,0.3277193448897568,-9.65111216992276e-05,50424,origin,boundary_gated_ensemble
0.7760074251682265,7.734550235904969e-05,MYR,0.5573097456566509,0.0020929865958749794,0.32612448214939593,-0.00031886082779114533,12929,origin,boundary_gated_ensemble
0.8256243801280317,-6.0108796922420105e-05,OAK,0.4423523900398681,-0.000265510269364555,0.2634849190006618,-0.00038789630124669294,33273,origin,boundary_gated_ensemble
