method,label,joint_n,joint_log_loss,joint_multiclass_brier,delay_n,delay_log_loss,delay_brier,delay_roc_auc,delay_average_precision,cancellation_n,cancellation_log_loss,cancellation_brier,cancellation_roc_auc,cancellation_average_precision
baseline,Schedule/history baseline,5814817,0.555476137916928,0.33752806970728017,5732449,0.492107161376742,0.1597817537516623,0.6893217256724575,0.3848418479933846,5829666,0.07018557370498908,0.013747910693158848,0.7325413983547199,0.047006690149793
weather,+ forecast weather,5814817,0.5396070806098007,0.32786404703435945,5732449,0.47998260014923655,0.1552156514821958,0.7152522066968736,0.42880217246019536,5829666,0.06628387876909998,0.013524464296171688,0.7919320201674639,0.0882189624267614
rotation_structural,+ latent rotation,5814817,0.5392251622713801,0.32707623623444126,5732449,0.47875486363665615,0.15475382784992403,0.7171015455720158,0.4321197628050064,5829666,0.06710825973901544,0.013565408108785466,0.7891207227742808,0.08489894793654687
rotation_risk,+ propagated risk,5814817,0.5398165601735715,0.3279448525351855,5732449,0.48000967289217794,0.1552381477468652,0.7153158442560115,0.4285829792522775,5829666,0.06646504704068268,0.013530269676243165,0.7934014676244352,0.08854378337625576
ensemble,Convex ensemble,5814817,0.5392251622713801,0.32707623623444126,5732449,0.47875486363665615,0.15475382784992403,0.7171015455720158,0.4321197628050064,5829666,0.06710825973901544,0.013565408108785466,0.7891207227742808,0.08489894793654687
reconciled,Selected aggregate alignment,5814817,0.5392251622713801,0.32707623623444126,5732449,0.47875486363665615,0.15475382784992403,0.7171015455720158,0.4321197628050064,5829666,0.06710825973901544,0.013565408108785466,0.7891207227742808,0.08489894793654687
